year,species,percent
0,abiebals,0.00
0,acerrubr,30.00
0,acersacc,0.00
0,betualle,0.00
0,betupapy,0.00
0,fraxamer,0.00
0,piceglau,0.00
0,pinubank,0.00
0,pinuresi,0.00
0,pinustro,0.00
0,poputrem,0.00
0,querelli,0.00
0,querrubr,70.00
0,thujocci,0.00
0,tiliamer,0.00
0,tsugcana,0.00
10,abiebals,0.00
10,acerrubr,20.89
10,acersacc,0.00
10,betualle,0.00
10,betupapy,0.00
10,fraxamer,0.00
10,piceglau,0.00
10,pinubank,0.00
10,pinuresi,0.00
10,pinustro,0.00
10,poputrem,0.00
10,querelli,0.00
10,querrubr,79.11
10,thujocci,0.00
10,tiliamer,0.00
10,tsugcana,0.00
20,abiebals,0.00
20,acerrubr,12.46
20,acersacc,0.00
20,betualle,0.00
20,betupapy,0.00
20,fraxamer,0.00
20,piceglau,0.00
20,pinubank,0.00
20,pinuresi,0.00
20,pinustro,0.00
20,poputrem,0.00
20,querelli,0.00
20,querrubr,87.54
20,thujocci,0.00
20,tiliamer,0.00
20,tsugcana,0.00
30,abiebals,0.00
30,acerrubr,12.95
30,acersacc,0.00
30,betualle,0.00
30,betupapy,0.00
30,fraxamer,0.00
30,piceglau,0.00
30,pinubank,0.00
30,pinuresi,0.00
30,pinustro,0.00
30,poputrem,0.00
30,querelli,0.00
30,querrubr,87.05
30,thujocci,0.00
30,tiliamer,0.00
30,tsugcana,0.00
40,abiebals,0.00
40,acerrubr,11.66
40,acersacc,0.00
40,betualle,0.00
40,betupapy,0.00
40,fraxamer,0.00
40,piceglau,0.00
40,pinubank,0.00
40,pinuresi,0.00
40,pinustro,0.00
40,poputrem,0.00
40,querelli,0.00
40,querrubr,88.34
40,thujocci,0.00
40,tiliamer,0.00
40,tsugcana,0.00
50,abiebals,0.00
50,acerrubr,2.32
50,acersacc,0.00
50,betualle,0.00
50,betupapy,0.00
50,fraxamer,0.00
50,piceglau,0.00
50,pinubank,0.00
50,pinuresi,0.00
50,pinustro,0.00
50,poputrem,0.00
50,querelli,0.00
50,querrubr,97.68
50,thujocci,0.00
50,tiliamer,0.00
50,tsugcana,0.00
60,abiebals,0.00
60,acerrubr,2.55
60,acersacc,0.00
60,betualle,0.00
60,betupapy,0.00
60,fraxamer,0.00
60,piceglau,0.00
60,pinubank,0.00
60,pinuresi,0.00
60,pinustro,0.00
60,poputrem,0.00
60,querelli,0.00
60,querrubr,97.45
60,thujocci,0.00
60,tiliamer,0.00
60,tsugcana,0.00
70,abiebals,0.00
70,acerrubr,2.23
70,acersacc,0.00
70,betualle,0.00
70,betupapy,0.00
70,fraxamer,0.00
70,piceglau,0.00
70,pinubank,0.00
70,pinuresi,0.00
70,pinustro,0.00
70,poputrem,0.00
70,querelli,0.00
70,querrubr,97.77
70,thujocci,0.00
70,tiliamer,0.00
70,tsugcana,0.00
80,abiebals,0.00
80,acerrubr,84.41
80,acersacc,0.00
80,betualle,0.00
80,betupapy,0.00
80,fraxamer,0.00
80,piceglau,0.00
80,pinubank,0.00
80,pinuresi,0.00
80,pinustro,0.00
80,poputrem,0.00
80,querelli,0.00
80,querrubr,15.59
80,thujocci,0.00
80,tiliamer,0.00
80,tsugcana,0.00
90,abiebals,0.00
90,acerrubr,83.75
90,acersacc,0.00
90,betualle,0.00
90,betupapy,0.00
90,fraxamer,0.00
90,piceglau,0.00
90,pinubank,0.00
90,pinuresi,0.00
90,pinustro,0.00
90,poputrem,0.00
90,querelli,0.00
90,querrubr,16.25
90,thujocci,0.00
90,tiliamer,0.00
90,tsugcana,0.00
100,abiebals,0.00
100,acerrubr,57.59
100,acersacc,0.00
100,betualle,0.00
100,betupapy,0.00
100,fraxamer,0.00
100,piceglau,0.00
100,pinubank,0.00
100,pinuresi,0.00
100,pinustro,0.00
100,poputrem,0.00
100,querelli,0.00
100,querrubr,42.41
100,thujocci,0.00
100,tiliamer,0.00
100,tsugcana,0.00
110,abiebals,0.00
110,acerrubr,81.74
110,acersacc,0.00
110,betualle,0.00
110,betupapy,0.00
110,fraxamer,0.00
110,piceglau,0.00
110,pinubank,0.00
110,pinuresi,0.00
110,pinustro,0.00
110,poputrem,0.00
110,querelli,0.00
110,querrubr,18.26
110,thujocci,0.00
110,tiliamer,0.00
110,tsugcana,0.00
120,abiebals,0.00
120,acerrubr,89.20
120,acersacc,0.00
120,betualle,0.00
120,betupapy,0.00
120,fraxamer,0.00
120,piceglau,0.00
120,pinubank,0.00
120,pinuresi,0.00
120,pinustro,0.00
120,poputrem,0.00
120,querelli,0.00
120,querrubr,10.80
120,thujocci,0.00
120,tiliamer,0.00
120,tsugcana,0.00
130,abiebals,0.00
130,acerrubr,86.45
130,acersacc,0.00
130,betualle,0.00
130,betupapy,0.00
130,fraxamer,0.00
130,piceglau,0.00
130,pinubank,0.00
130,pinuresi,0.00
130,pinustro,0.00
130,poputrem,0.00
130,querelli,0.00
130,querrubr,13.55
130,thujocci,0.00
130,tiliamer,0.00
130,tsugcana,0.00
140,abiebals,0.00
140,acerrubr,91.32
140,acersacc,0.00
140,betualle,0.00
140,betupapy,0.00
140,fraxamer,0.00
140,piceglau,0.00
140,pinubank,0.00
140,pinuresi,0.00
140,pinustro,0.00
140,poputrem,0.00
140,querelli,0.00
140,querrubr,8.68
140,thujocci,0.00
140,tiliamer,0.00
140,tsugcana,0.00
150,abiebals,0.00
150,acerrubr,94.42
150,acersacc,0.00
150,betualle,0.00
150,betupapy,0.00
150,fraxamer,0.00
150,piceglau,0.00
150,pinubank,0.00
150,pinuresi,0.00
150,pinustro,0.00
150,poputrem,0.00
150,querelli,0.00
150,querrubr,5.58
150,thujocci,0.00
150,tiliamer,0.00
150,tsugcana,0.00
160,abiebals,0.00
160,acerrubr,96.23
160,acersacc,0.00
160,betualle,0.00
160,betupapy,0.00
160,fraxamer,0.00
160,piceglau,0.00
160,pinubank,0.00
160,pinuresi,0.00
160,pinustro,0.00
160,poputrem,0.00
160,querelli,0.00
160,querrubr,3.77
160,thujocci,0.00
160,tiliamer,0.00
160,tsugcana,0.00
170,abiebals,0.00
170,acerrubr,94.41
170,acersacc,0.00
170,betualle,0.00
170,betupapy,0.00
170,fraxamer,0.00
170,piceglau,0.00
170,pinubank,0.00
170,pinuresi,0.00
170,pinustro,0.00
170,poputrem,0.00
170,querelli,0.00
170,querrubr,5.59
170,thujocci,0.00
170,tiliamer,0.00
170,tsugcana,0.00
